Zip Code,Latitude,Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
20105,38.95584106,-77.59528351,Dance Studio,Bella Ballerina,38.98568309622744,-77.5364725698583
20105,38.95584106,-77.59528351,Dance Studio,Applause! Applause! Performing Arts Center,38.96478,-77.49559
20105,38.95584106,-77.59528351,Dance Studio,Creative Dance and Fitness Center,38.923768383071796,-77.51081957733543
20109,38.80110168,-77.52182007,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
20109,38.80110168,-77.52182007,Gym / Fitness Center,Doll House Pole Fitness,38.800105,-77.522966
20109,38.80110168,-77.52182007,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20109,38.80110168,-77.52182007,Dance Studio,Gainesville Dance Center,38.792512,-77.59682600000001
20109,38.80110168,-77.52182007,Dance Studio,Gainesville Ballet,38.793936,-77.612942
20109,38.80110168,-77.52182007,Dance Studio,Showcase Dance Studio Inc.,38.784618,-77.518596
20109,38.80110168,-77.52182007,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20109,38.80110168,-77.52182007,Dance Studio,Centreville Dance Academy,38.8328140784905,-77.44559937703502
20109,38.80110168,-77.52182007,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20109,38.80110168,-77.52182007,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20109,38.80110168,-77.52182007,Dance Studio,Tiny Dancers,38.794651,-77.600039
20109,38.80110168,-77.52182007,Dance Studio,Baemar Dance Center,38.750023,-77.57113100000001
20109,38.80110168,-77.52182007,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20109,38.80110168,-77.52182007,Dance Studio,Academy of Russian Ballet,38.7631241991495,-77.5071661848652
20109,38.80110168,-77.52182007,Dance Studio,The Ballroom Studio,38.837330743368156,-77.43882304405236
20109,38.80110168,-77.52182007,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20109,38.80110168,-77.52182007,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20109,38.80110168,-77.52182007,Dance Studio,Centreville Dance Academy,38.83730877371033,-77.43742008040653
20109,38.80110168,-77.52182007,Dance Studio,Braemar Dance Center,38.76161463490373,-77.5579257106678
20110,38.74596024,-77.48802948,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20110,38.74596024,-77.48802948,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
20110,38.74596024,-77.48802948,Dance Studio,Showcase Dance Studio Inc.,38.784618,-77.518596
20110,38.74596024,-77.48802948,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20110,38.74596024,-77.48802948,Gym / Fitness Center,Doll House Pole Fitness,38.800105,-77.522966
20110,38.74596024,-77.48802948,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20110,38.74596024,-77.48802948,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20110,38.74596024,-77.48802948,Dance Studio,Centreville Dance Academy,38.8328140784905,-77.44559937703502
20110,38.74596024,-77.48802948,Dance Studio,Baemar Dance Center,38.750023,-77.57113100000001
20110,38.74596024,-77.48802948,Dance Studio,The Ballroom Studio,38.837330743368156,-77.43882304405236
20110,38.74596024,-77.48802948,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20110,38.74596024,-77.48802948,Dance Studio,Academy of Russian Ballet,38.7631241991495,-77.5071661848652
20110,38.74596024,-77.48802948,Dance Studio,Braemar Dance Center,38.76161463490373,-77.5579257106678
20110,38.74596024,-77.48802948,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20110,38.74596024,-77.48802948,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20110,38.74596024,-77.48802948,Dance Studio,Centreville Dance Academy,38.83730877371033,-77.43742008040653
20110,38.74596024,-77.48802948,Dance Studio,Prince William Dance Academy,38.69961154362529,-77.58137226104736
20111,38.75284958,-77.43071747,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20111,38.75284958,-77.43071747,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20111,38.75284958,-77.43071747,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20111,38.75284958,-77.43071747,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20111,38.75284958,-77.43071747,Dance Studio,Academy of Russian Ballet,38.7631241991495,-77.5071661848652
20111,38.75284958,-77.43071747,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20111,38.75284958,-77.43071747,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20111,38.75284958,-77.43071747,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20112,38.67250061,-77.43344879,Dance Studio,Accent Dancers,38.66083051787402,-77.36867109992725
20112,38.67250061,-77.43344879,Dance Studio,Hall Of Fame Dance Challenge,38.65099725524666,-77.38472797495731
20112,38.67250061,-77.43344879,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20112,38.67250061,-77.43344879,Dance Studio,Accent Dancers,38.660815,-77.368319
20112,38.67250061,-77.43344879,Dance Studio,METstar Elite Dance Studio,38.614505,-77.368645
20120,38.85966873,-77.46154785,Dance Studio,south riding dance,38.91487096077482,-77.51280957530969
20120,38.85966873,-77.46154785,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
20120,38.85966873,-77.46154785,Dance Studio,Not Just Dance,38.882853999999995,-77.429273
20120,38.85966873,-77.46154785,Dance Studio,Encore Performers,38.884731,-77.433083
20120,38.85966873,-77.46154785,Dance Studio,Creative Dance and Fitness Center,38.923768383071796,-77.51081957733543
20120,38.85966873,-77.46154785,Dance Studio,Axis Dance,38.893551,-77.434821
20120,38.85966873,-77.46154785,Country Dance Club,Russell School Of Ballet,38.8939058,-77.4371188
20120,38.85966873,-77.46154785,Dance Studio,Creative Dance Center,38.890468310381976,-77.43665694011152
20120,38.85966873,-77.46154785,Gym / Fitness Center,Doll House Pole Fitness,38.800105,-77.522966
20120,38.85966873,-77.46154785,Dance Studio,DivaFit - Chantilly Studio,38.908429427994726,-77.47040278014559
20120,38.85966873,-77.46154785,Dance Studio,The Ballroom Studio,38.837330743368156,-77.43882304405236
20120,38.85966873,-77.46154785,Dance Studio,Metro Office,38.90773974664102,-77.42413748190006
20120,38.85966873,-77.46154785,Dance Studio,Centreville Dance Academy,38.8328140784905,-77.44559937703502
20120,38.85966873,-77.46154785,Dance Studio,Centreville Dance Academy,38.83730877371033,-77.43742008040653
20121,38.81719971,-77.46099854,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20121,38.81719971,-77.46099854,Dance Studio,Not Just Dance,38.882853999999995,-77.429273
20121,38.81719971,-77.46099854,Dance Studio,Encore Performers,38.884731,-77.433083
20121,38.81719971,-77.46099854,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
20121,38.81719971,-77.46099854,Dance Studio,Showcase Dance Studio Inc.,38.784618,-77.518596
20121,38.81719971,-77.46099854,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20121,38.81719971,-77.46099854,Gym / Fitness Center,Doll House Pole Fitness,38.800105,-77.522966
20121,38.81719971,-77.46099854,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20121,38.81719971,-77.46099854,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20121,38.81719971,-77.46099854,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20121,38.81719971,-77.46099854,Dance Studio,Centreville Dance Academy,38.8328140784905,-77.44559937703502
20121,38.81719971,-77.46099854,Dance Studio,Academy of Russian Ballet,38.7631241991495,-77.5071661848652
20121,38.81719971,-77.46099854,Dance Studio,Centreville Dance Academy,38.83730877371033,-77.43742008040653
20121,38.81719971,-77.46099854,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20121,38.81719971,-77.46099854,Dance Studio,The Ballroom Studio,38.837330743368156,-77.43882304405236
20121,38.81719971,-77.46099854,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20124,38.77500916,-77.38700104,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20124,38.77500916,-77.38700104,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20124,38.77500916,-77.38700104,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20124,38.77500916,-77.38700104,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20124,38.77500916,-77.38700104,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20124,38.77500916,-77.38700104,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20124,38.77500916,-77.38700104,Dance Studio,The Ballroom Studio,38.837330743368156,-77.43882304405236
20124,38.77500916,-77.38700104,Dance Studio,The Throne @ IHOS VA style,38.8507080078125,-77.35073852539062
20124,38.77500916,-77.38700104,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20124,38.77500916,-77.38700104,Dance Studio,Its An Ambien Night,38.82316620957546,-77.30530777922539
20124,38.77500916,-77.38700104,Dance Studio,Dance Zone,38.825114,-77.314728
20124,38.77500916,-77.38700104,Dance Studio,Centreville Dance Academy,38.83730877371033,-77.43742008040653
20124,38.77500916,-77.38700104,Dance Studio,Center For Ballet Arts,38.850211647042,-77.33425683300896
20124,38.77500916,-77.38700104,Dance Studio,Centreville Dance Academy,38.8328140784905,-77.44559937703502
20129,39.16078186,-77.61772919,Dance Studio,Theaterpalooza,39.10771942138672,-77.56941986083984
20135,39.06708908,-77.90007019,Dance Studio,Social Graces Ballroom Dance Studio,39.146358489990234,-77.96890258789062
20136,38.71643066,-77.53150177,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20136,38.71643066,-77.53150177,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
20136,38.71643066,-77.53150177,Dance Studio,A G Arts,38.76242148901973,-77.61396615048929
20136,38.71643066,-77.53150177,Dance Studio,Showcase Dance Studio Inc.,38.784618,-77.518596
20136,38.71643066,-77.53150177,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20136,38.71643066,-77.53150177,Gym / Fitness Center,Doll House Pole Fitness,38.800105,-77.522966
20136,38.71643066,-77.53150177,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20136,38.71643066,-77.53150177,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20136,38.71643066,-77.53150177,Dance Studio,Braemar Dance Center,38.76161463490373,-77.5579257106678
