Zip Code,City,County,Latitude,Longitude,Population,Median Household Income,Dance Studio
20105,Aldie,Loudoun,38.95584106,-77.59528351,11315,113968,18.0
20109,Manassas,Prince William,38.80110168,-77.52182007,37265,65099,108.0
20110,Manassas,Manassas City,38.74596024,-77.48802948,43876,79380,96.0
20111,Manassas,Prince William,38.75284958,-77.43071747,30590,82990,48.0
20112,Manassas,Prince William,38.67250061,-77.43344879,25833,121456,30.0
20120,Centreville,Fairfax,38.85966873,-77.46154785,40695,117653,72.0
20121,Centreville,Fairfax,38.81719971,-77.46099854,27988,90398,90.0
20124,Clifton,Fairfax,38.77500916,-77.38700104,14857,154495,84.0
20129,Paeonian Springs,Loudoun,39.16078186,-77.61772919,618,145941,6.0
20135,Bluemont,Clarke,39.06708908,-77.90007019,2834,80135,6.0
20136,Bristow,Prince William,38.71643066,-77.53150177,28498,110302,84.0
20137,Broad Run,Fauquier,38.81492996,-77.7128067,1510,101429,36.0
20143,Catharpin,Prince William,38.85535049,-77.55545044,1216,106620,60.0
20147,Ashburn,Loudoun,39.04561996,-77.48409271,54086,121477,96.0
20148,Ashburn,Loudoun,38.99784088,-77.52047729,28310,142112,66.0
20151,Chantilly,Fairfax,38.88360977,-77.45159912,21374,117880,66.0
20152,Chantilly,Loudoun,38.89381027,-77.51904297,24946,114386,48.0
20155,Gainesville,Prince William,38.7278595,-77.64700317,29411,103203,42.0
20158,Hamilton,Loudoun,39.14334869,-77.65847778,4288,108617,6.0
20164,Sterling,Loudoun,39.01454926,-77.39499664,37747,88398,126.0
20165,Sterling,Loudoun,39.05101013,-77.38713074,32383,128545,72.0
20166,Sterling,Loudoun,39.00022888,-77.45520782,9521,92814,144.0
20169,Haymarket,Prince William,38.85441971,-77.63504028,19801,105319,30.0
20170,Herndon,Fairfax,38.9810791,-77.38294983,41236,108644,114.0
20171,Herndon,Fairfax,38.92826843,-77.39290619,45887,135875,114.0
20175,Leesburg,Loudoun,39.06332016,-77.60459137,27169,97598,18.0
20181,Nokesville,Prince William,38.67964935,-77.56697083,7877,100807,18.0
20186,Warrenton,Fauquier,38.71139908,-77.84425354,14557,75731,24.0
20187,Warrenton,Fauquier,38.7089119,-77.73642731,15252,93755,30.0
20190,Reston,Fairfax,38.95985031,-77.34214783,17529,85605,102.0
20191,Reston,Fairfax,38.93090057,-77.34355164,29128,101472,132.0
20194,Reston,Fairfax,38.98265076,-77.34055328,13165,129661,78.0
20198,The Plains,Fauquier,38.87882996,-77.75917816,2492,75362,6.0
22003,Annandale,Fairfax,38.83449936,-77.20995331,55990,95070,174.0
22015,Burke,Fairfax,38.78499985,-77.28665161,43102,116283,78.0
22025,Dumfries,Prince William,38.59606934,-77.34046173,17379,103798,66.0
22026,Dumfries,Prince William,38.56824875,-77.29776764,14258,67378,24.0
22027,Dunn Loring,Fairfax,38.89459991,-77.22125244,2362,132923,156.0
22030,Fairfax,Fairfax City,38.83510971,-77.33969116,55066,103520,60.0
