Zip Code,Population,Median Household Income,Latitude,Longitude
20101,0,$,38.94000000, -77.46000000
20102,0,$,38.94000000, -77.46000000
20103,0,$,38.94000000, -77.46000000
20104,0,$,38.94000000, -77.46000000
20105,11315,$113968,38.95584106, -77.59528351
20106,5142,$76113,38.69712067, -78.01661682
20107,,$,40, -90
20108,0,$,38.77000000, -77.49000000
20109,37265,$65099,38.80110168, -77.52182007
20110,43876,$79380,38.74596024, -77.48802948
20111,30590,$82990,38.75284958, -77.43071747
20112,25833,$121456,38.67250061, -77.43344879
20113,0,$,38.73250000, -77.44600000
20115,5838,$83320,38.83810043, -77.89041901
20116,0,$,38.80000000, -77.90000000
20117,2693,$81723,39.00936127, -77.74337006
20118,7,$,38.96833900, -77.73700500
20119,3946,$71730,38.59387970, -77.62148285
20120,40695,$117653,38.85966873, -77.46154785
20121,27988,$90398,38.81719971, -77.46099854
20122,0,$,38.84000000, -77.43000000
20124,14857,$154495,38.77500916, -77.38700104
20128,0,$,38.75100000, -77.96280000
20129,618,$145941,39.16078186, -77.61772919
20130,281,$80462,39.00183868, -77.96988678
20131,0,$,39.05600000, -77.74060000
20132,15900,$93947,39.19178009, -77.73432159
20134,0,$,39.13000000, -77.71000000
20135,2834,$80135,39.06708908, -77.90007019
20136,28498,$110302,38.71643066, -77.53150177
20137,1510,$101429,38.81492996, -77.71280670
20138,0,$,38.63225100, -77.66996800
20139,217,$,38.65634900, -77.69721300
20140,0,$,38.92100000, -77.86170000
20141,6131,$103862,39.11857986, -77.79113007
20142,0,$,39.14000000, -77.77000000
20143,1216,$106620,38.85535049, -77.55545044
20144,1012,$67088,38.92412949, -77.94331360
20146,0,$,39.04000000, -77.49000000
20147,54086,$121477,39.04561996, -77.48409271
20148,28310,$142112,38.99784088, -77.52047729
20149,0,$,39.04000000, -77.49000000
20151,21374,$117880,38.88360977, -77.45159912
20152,24946,$114386,38.89381027, -77.51904297
20153,0,$,38.82000000, -77.29000000
20155,29411,$103203,38.72785950, -77.64700317
20156,0,$,38.83000000, -77.62000000
20158,4288,$108617,39.14334869, -77.65847778
20159,0,$,39.13000000, -77.67000000
20160,0,$,39.11530000, -77.69530000
20163,0,$,39.01000000, -77.43000000
20164,37747,$88398,39.01454926, -77.39499664
20165,32383,$128545,39.05101013, -77.38713074
20166,9521,$92814,39.00022888, -77.45520782
20167,0,$,39.01000000, -77.43000000
20168,0,$,38.87000000, -77.65000000
20169,19801,$105319,38.85441971, -77.63504028
20170,41236,$108644,38.98107910, -77.38294983
20171,45887,$135875,38.92826843, -77.39290619
